douban_id,imdb_id,Title,Year,Directors,Actors,Genres,Country,Runtime,YourRating_douban,YourRating_imdb,DateRated_First,DateRated_douban,DateRated_imdb,PublicRating_douban,Votes_douban,PublicRating_imdb,Votes_imdb,URL_douban,URL_imdb
3200195.0,tt0377169,龙珠GT,1996.0,葛西治,"野泽雅子, 堀川亮, 古川登志夫","动作, 动画, 奇幻",日本,,4.0,,2017-08-21,2017-08-21,,9.0,18293.0,,,https://movie.douban.com/subject/3200195/,
6312211.0,tt6622786,爱情公寓3,2012.0,韦正,"娄艺潇, 陈赫, 邓家佳","剧情, 喜剧, 爱情",中国大陆,,3.0,,2019-09-30,2019-09-30,,7.8,179481.0,,,https://movie.douban.com/subject/6312211/,
30423905.0,tt11459250,大江大河2,2020.0,"李雪, 黄伟","王凯, 杨烁, 董子健","剧情, 历史",中国大陆,,4.0,,2020-12-31,2020-12-31,,8.7,205551.0,,,https://movie.douban.com/subject/30423905/,
25984031.0,tt4451792,JOJO的奇妙冒险 星尘斗士 埃及篇,2015.0,"津田尚克, 加藤敏幸, 铃木健一, 副岛惠文, 町谷俊辅, 高村雄太, 藤本次朗, 江副仁美, 吉川志我津","小野大辅, 石冢运升, 三宅健太","剧情, 动作, 动画",日本,,4.0,,2023-08-01,2023-08-01,,9.6,84407.0,,,https://movie.douban.com/subject/25984031/,
,tt0450392,Batman Begins,2005.0,,,"Action, Adventure, Crime",,0.0,,8.0,2017-08-15,,2017-08-15,,,8.2,16043.0,,https://www.imdb.com/title/tt0450392/
,tt5775864,Beyond the Wall,2017.0,Alan Taylor,,"Action, Adventure, Drama",,70.0,,6.0,2017-08-21,,2017-08-21,,,9.0,74303.0,,https://www.imdb.com/title/tt5775864/
,tt0434409,V for Vendetta,2005.0,James McTeigue,,"Action, Drama, Sci-Fi",,132.0,,9.0,2017-08-22,,2017-08-22,,,8.1,1223102.0,,https://www.imdb.com/title/tt0434409/
,tt5775846,The Spoils of War,2017.0,Matt Shakman,,"Action, Adventure, Drama",,50.0,,10.0,2019-05-30,,2019-05-30,,,9.7,102000.0,,https://www.imdb.com/title/tt5775846/
,tt6027912,The Long Night,2019.0,Miguel Sapochnik,,"Action, Adventure, Drama",,82.0,,10.0,2019-05-30,,2019-05-30,,,7.5,234129.0,,https://www.imdb.com/title/tt6027912/
,tt6027916,The Bells,2019.0,Miguel Sapochnik,,"Action, Adventure, Drama",,78.0,,5.0,2019-05-30,,2019-05-30,,,5.9,207813.0,,https://www.imdb.com/title/tt6027916/
,tt0139774,Dragon Ball GT,1996.0,,,"Animation, Action, Adventure",,24.0,,8.0,2023-02-28,,2023-02-28,,,6.8,31333.0,,https://www.imdb.com/title/tt0139774/
,tt0794374,Summer Palace,2006.0,Ye Lou,,"Drama, History, Romance",,158.0,,8.0,2023-02-28,,2023-02-28,,,7.2,4836.0,,https://www.imdb.com/title/tt0794374/
,tt4056808,The Chinese Mayor,2015.0,Hao Zhou,,"Documentary, Drama, News",,89.0,,8.0,2023-02-28,,2023-02-28,,,7.7,937.0,,https://www.imdb.com/title/tt4056808/
,tt6878038,A Taxi Driver,2017.0,Hun Jang,,"Action, Drama, History",,137.0,,8.0,2023-02-28,,2023-02-28,,,7.9,35939.0,,https://www.imdb.com/title/tt6878038/
,tt18372308,Serve the People,2022.0,Cheol-soo Jang,,"Drama, Romance",,146.0,,6.0,2023-03-31,,2023-03-31,,,6.3,799.0,,https://www.imdb.com/title/tt18372308/
,tt4440662,"Iggy the Fool and Geb's N'Doul, Part 1",2015.0,"Naokatsu Tsuda, Kenichi Suzuki",,"Animation, Action, Adventure",,23.0,,8.0,2023-09-24,,2023-09-24,,,7.6,1104.0,,https://www.imdb.com/title/tt4440662/
,tt32186579,An Unfinished Film,2024.0,Ye Lou,,Drama,,107.0,,8.0,2025-06-11,,2025-06-11,,,7.3,1280.0,,https://www.imdb.com/title/tt32186579/
,tt1802197,The Lady,2011.0,Luc Besson,,"Biography, Drama, History",,132.0,,6.0,2025-08-09,,2025-08-09,,,7.0,11531.0,,https://www.imdb.com/title/tt1802197/
,tt0899043,The Amateur,2025.0,James Hawes,,"Action, Thriller",,122.0,,5.0,2025-08-14,,2025-08-14,,,6.5,68278.0,,https://www.imdb.com/title/tt0899043/
4321270.0,,猫和老鼠,1965.0,"约瑟夫·巴伯拉, 威廉·汉纳, 特克斯·艾弗里, 迈克尔·拉赫","道斯·巴特勒, 里德·科菲, 约瑟夫·巴伯拉","喜剧, 动画, 家庭",美国,,4.0,,2017-08-21,2017-08-21,,9.8,195496.0,,,https://movie.douban.com/subject/4321270/,
1309046.0,,未知电影,,,,,,,4.0,,2017-08-22,2017-08-22,,0.0,0.0,,,https://movie.douban.com/subject/1309046/,
2347271.0,,萧十一郎,2002.0,黎文彦,"吴奇隆, 朱茵, 于波","剧情, 武侠, 古装",中国大陆,,4.0,,2017-08-23,2017-08-23,,7.6,49072.0,,,https://movie.douban.com/subject/2347271/,
3134871.0,,乌龙闯情关,2001.0,"高力强, 德喜","孙耀威, 曹颖, 柯受良","剧情, 喜剧, 爱情",中国大陆,,4.0,,2017-08-23,2017-08-23,,7.4,33434.0,,,https://movie.douban.com/subject/3134871/,
25787994.0,,屌丝男士 第三季,2014.0,大鹏,"大鹏, 吉泽明步, 拓也哥",喜剧,中国大陆,,4.0,,2017-10-04,2017-10-04,,7.5,35369.0,,,https://movie.douban.com/subject/25787994/,
19976810.0,,屌丝男士 第一季,2012.0,大鹏,"大鹏, 柳岩, 孙俪",喜剧,中国大陆,,4.0,,2017-10-04,2017-10-04,,7.4,56698.0,,,https://movie.douban.com/subject/19976810/,
20470058.0,,屌丝男士 第二季,2013.0,大鹏,"大鹏, 林志玲 Chiling Lin, 马丽",喜剧,中国大陆,,4.0,,2017-10-04,2017-10-04,,7.5,42231.0,,,https://movie.douban.com/subject/20470058/,
25899507.0,,万万没想到 第二季,2014.0,易小星,"白客, 葛布, 易小星",喜剧,中国大陆,,4.0,,2017-10-04,2017-10-04,,8.0,38106.0,,,https://movie.douban.com/subject/25899507/,
26946395.0,,相思,2016.0,彭擎政,"何向东, 沈念慈, 王晓彤","动画, 短片",中国大陆,,4.0,,2018-05-16,2018-05-16,,8.2,41080.0,,,https://movie.douban.com/subject/26946395/,
30357985.0,,中国新说唱 第二季,2019.0,车澈,"吴亦凡, MC热狗, 张震岳","音乐, 真人秀",中国大陆,,2.0,,2019-07-27,2019-07-27,,5.3,36921.0,,,https://movie.douban.com/subject/30357985/,
3726072.0,,东邪西毒：终极版,2008.0,王家卫,"张国荣, 林青霞, 梁朝伟","剧情, 动作, 爱情",中国香港 中国大陆 中国台湾,,4.0,,2019-09-30,2019-09-30,,8.8,220990.0,,,https://movie.douban.com/subject/3726072/,
25889645.0,,腾空的日子,2014.0,毕鑫业,"李佳航, 胡冰卿, 郑家彬",喜剧,中国大陆,,3.0,,2020-02-06,2020-02-06,,8.7,27042.0,,,https://movie.douban.com/subject/25889645/,
5993188.0,,黑狐,2011.0,"张健, 陶秋普, 王德庆, 杜玉明","张若昀, 刘小锋, 乔鹏樾",战争,中国大陆,,3.0,,2020-02-11,2020-02-11,,7.5,8267.0,,,https://movie.douban.com/subject/5993188/,
30174640.0,,法制未来时,2015.0,孔大山,"孔大山, 戴文杰, 王澍","喜剧, 短片",中国大陆,,4.0,,2020-02-13,2020-02-13,,8.4,24245.0,,,https://movie.douban.com/subject/30174640/,
21327518.0,,硬汉奶爸,2014.0,李奥,"刘承俊, 刘芸, 蓝心妍","喜剧, 家庭",中国大陆,,1.0,,2020-07-01,2020-07-01,,4.4,2365.0,,,https://movie.douban.com/subject/21327518/,
34660591.0,,乐队的夏天 第二季,2020.0,"王雪, 陈雨璇, 周宗政","马东, 周迅, 大张伟","音乐, 真人秀",中国大陆,,4.0,,2020-10-23,2020-10-23,,7.4,68519.0,,,https://movie.douban.com/subject/34660591/,
30210248.0,,百花深处,2002.0,陈凯歌,"冯远征, 耿乐","喜剧, 短片",中国大陆,,4.0,,2020-10-25,2020-10-25,,9.1,30227.0,,,https://movie.douban.com/subject/30210248/,
25890928.0,,屌丝男士 第四季,2015.0,大鹏,"大鹏, 玛蒂娜·希尔, 韩庚",喜剧,中国大陆,,3.0,,2021-01-05,2021-01-05,,7.5,27509.0,,,https://movie.douban.com/subject/25890928/,
35725899.0,,缩小人特攻队,2022.0,熊琛,"范明, 张子栋, 陈昊明",喜剧,中国大陆,,2.0,,2022-02-02,2022-02-02,,3.9,1552.0,,,https://movie.douban.com/subject/35725899/,
36055633.0,,乐队的夏天 第三季,2023.0,"王雪, 陈雨璇","大张伟, 高叶, 马东","音乐, 真人秀",中国大陆,,3.0,,2023-10-21,2023-10-21,,7.2,29698.0,,,https://movie.douban.com/subject/36055633/,
3993559.0,,赛德克·巴莱,2012.0,魏德圣,"林庆台, 马志翔, 安藤政信","剧情, 历史, 战争",中国台湾,,4.0,,2023-11-24,2023-11-24,,8.8,197894.0,,,https://movie.douban.com/subject/3993559/,
1292465.0,tt0032551,愤怒的葡萄,1940.0,约翰·福特,"亨利·方达, 简·达威尔, 约翰·卡拉丁","剧情, 历史",美国,,0.0,,2025-08-18,2025-08-18,,8.5,13900.0,,,https://movie.douban.com/subject/1292465/,
